type,city,district,voted,voted_agree,voted_disagree,valid,invalid,eligible
district,嘉義縣,朴子市,8273.0,5700.0,2509.0,8209.0,64.0,34389.0
district,嘉義縣,布袋鎮,4683.0,3354.0,1297.0,4651.0,32.0,21890.0
district,嘉義縣,大林鎮,6782.0,4893.0,1847.0,6740.0,42.0,26169.0
district,嘉義縣,民雄鄉,15921.0,11378.0,4462.0,15840.0,81.0,61437.0
district,嘉義縣,溪口鄉,2651.0,1792.0,842.0,2634.0,17.0,11713.0
district,嘉義縣,新港鄉,5921.0,3848.0,2032.0,5880.0,41.0,26066.0
district,嘉義縣,六腳鄉,4014.0,2718.0,1253.0,3971.0,43.0,18759.0
district,嘉義縣,東石鄉,3954.0,2908.0,1020.0,3928.0,26.0,20153.0
district,嘉義縣,義竹鄉,3134.0,2199.0,897.0,3096.0,38.0,14731.0
district,嘉義縣,鹿草鄉,2671.0,1809.0,833.0,2642.0,29.0,12602.0
district,嘉義縣,水上鄉,10827.0,7641.0,3106.0,10747.0,80.0,42886.0
district,嘉義縣,中埔鄉,8708.0,6381.0,2260.0,8641.0,67.0,37720.0
district,嘉義縣,竹崎鄉,6605.0,4928.0,1627.0,6555.0,50.0,29119.0
district,嘉義縣,梅山鄉,3781.0,2897.0,858.0,3755.0,26.0,15563.0
district,嘉義縣,番路鄉,2201.0,1687.0,501.0,2188.0,13.0,9775.0
district,嘉義縣,大埔鄉,504.0,403.0,93.0,496.0,8.0,3784.0
district,嘉義縣,阿里山鄉,1155.0,1006.0,137.0,1143.0,12.0,4496.0
city,屏東縣,,213366.0,120720.0,90460.0,211180.0,2186.0,688202.0
district,屏東縣,屏東市,54884.0,33929.0,20506.0,54435.0,449.0,164840.0
district,屏東縣,潮州鎮,14556.0,8330.0,6103.0,14433.0,123.0,46956.0
district,屏東縣,東港鎮,11481.0,5856.0,5515.0,11371.0,110.0,39132.0
district,屏東縣,恆春鎮,6830.0,4103.0,2658.0,6761.0,69.0,24992.0
district,屏東縣,萬丹鄉,13775.0,7146.0,6485.0,13631.0,144.0,42562.0
district,屏東縣,長治鄉,8231.0,4860.0,3307.0,8167.0,64.0,26161.0
district,屏東縣,麟洛鄉,3730.0,1868.0,1828.0,3696.0,34.0,9675.0
district,屏東縣,九如鄉,6047.0,2972.0,3030.0,6002.0,45.0,19057.0
district,屏東縣,里港鄉,6831.0,3557.0,3214.0,6771.0,60.0,21552.0
district,屏東縣,鹽埔鄉,5706.0,3515.0,2125.0,5640.0,66.0,20879.0
district,屏東縣,高樹鄉,6017.0,2614.0,3328.0,5942.0,75.0,20183.0
district,屏東縣,萬巒鄉,5024.0,2424.0,2538.0,4962.0,62.0,16741.0
district,屏東縣,內埔鄉,14513.0,7938.0,6435.0,14373.0,140.0,46989.0
district,屏東縣,竹田鄉,5051.0,2499.0,2485.0,4984.0,67.0,14165.0
district,屏東縣,新埤鄉,2587.0,1432.0,1119.0,2551.0,36.0,8353.0
district,屏東縣,枋寮鄉,6013.0,3333.0,2627.0,5960.0,53.0,20063.0
district,屏東縣,新園鄉,8039.0,3774.0,4176.0,7950.0,89.0,28993.0
district,屏東縣,崁頂鄉,3414.0,1648.0,1730.0,3378.0,36.0,11502.0
district,屏東縣,林邊鄉,4676.0,2203.0,2420.0,4623.0,53.0,14298.0
district,屏東縣,南州鄉,2744.0,1325.0,1385.0,2710.0,34.0,8885.0
district,屏東縣,佳冬鄉,4580.0,2277.0,2247.0,4524.0,56.0,15795.0
district,屏東縣,琉球鄉,1818.0,1268.0,522.0,1790.0,28.0,10831.0
district,屏東縣,車城鄉,2010.0,1106.0,881.0,1987.0,23.0,7069.0
district,屏東縣,滿州鄉,1601.0,896.0,682.0,1578.0,23.0,6388.0
district,屏東縣,枋山鄉,1166.0,623.0,524.0,1147.0,19.0,4507.0
district,屏東縣,三地門鄉,1893.0,1423.0,439.0,1862.0,31.0,6439.0
district,屏東縣,霧臺鄉,998.0,683.0,293.0,976.0,22.0,2808.0
district,屏東縣,瑪家鄉,1944.0,1445.0,459.0,1904.0,40.0,5660.0
district,屏東縣,泰武鄉,1464.0,1127.0,316.0,1443.0,21.0,4317.0
district,屏東縣,來義鄉,2053.0,1565.0,453.0,2018.0,35.0,6139.0
district,屏東縣,春日鄉,1034.0,784.0,224.0,1008.0,26.0,3961.0
district,屏東縣,獅子鄉,1303.0,1091.0,187.0,1278.0,25.0,4249.0
district,屏東縣,牡丹鄉,1353.0,1106.0,219.0,1325.0,28.0,4061.0
city,宜蘭縣,,88793.0,62075.0,26003.0,88078.0,715.0,388906.0
district,宜蘭縣,宜蘭市,19409.0,14203.0,5076.0,19279.0,130.0,79395.0
district,宜蘭縣,羅東鎮,13856.0,9363.0,4390.0,13753.0,103.0,56567.0
district,宜蘭縣,蘇澳鎮,7126.0,4836.0,2215.0,7051.0,75.0,32619.0
district,宜蘭縣,頭城鎮,5297.0,3941.0,1315.0,5256.0,41.0,24747.0
district,宜蘭縣,礁溪鄉,6955.0,4826.0,2078.0,6904.0,51.0,32549.0
district,宜蘭縣,壯圍鄉,4502.0,3066.0,1390.0,4456.0,46.0,21942.0
district,宜蘭縣,員山鄉,5867.0,4012.0,1803.0,5815.0,52.0,28849.0
district,宜蘭縣,冬山鄉,10588.0,6926.0,3561.0,10487.0,101.0,46111.0
district,宜蘭縣,五結鄉,8519.0,5795.0,2663.0,8458.0,61.0,37059.0
district,宜蘭縣,三星鄉,4193.0,2820.0,1342.0,4162.0,31.0,19378.0
district,宜蘭縣,大同鄉,1191.0,1089.0,85.0,1174.0,17.0,4896.0
district,宜蘭縣,南澳鄉,1290.0,1198.0,85.0,1283.0,7.0,4794.0
city,花蓮縣,,73829.0,63040.0,9956.0,72996.0,833.0,271519.0
district,花蓮縣,花蓮市,23015.0,19512.0,3306.0,22818.0,197.0,81726.0
district,花蓮縣,鳳林鎮,2758.0,2372.0,347.0,2719.0,39.0,9030.0
district,花蓮縣,玉里鎮,4586.0,3911.0,614.0,4525.0,61.0,18973.0
district,花蓮縣,新城鄉,4787.0,4087.0,653.0,4740.0,47.0,17818.0
